"Prioridade","Arquivo","Linhas","Tamanho"
"BAIXA","scripts\test-firebase-integration.js","152","5,1"
"BAIXA","scripts\test-google-calendar.js","84","2,9"
"BAIXA","scripts\test-messaging-flow.js","189","7,8"
"BAIXA","scripts\test-mobile-loading.js","129","4,3"
"BAIXA","scripts\test-notifications.js","157","7,2"
"BAIXA","scripts\test-payment-flow.js","163","6,9"
"BAIXA","scripts\test-resend-integration.js","150","6,4"
"BAIXA","scripts\test-stripe-payment.js","155","7,2"
"BAIXA","scripts\test-teleconsulta-flow.js","222","9,6"
"BAIXA","scripts\test-vercel-integrations.js","344","11,1"
"BAIXA","scripts\test-whatsapp-webhook.js","129","3,5"
"BAIXA","scripts\update-exercise-images.js","89","5,1"
"BAIXA","scripts\validate-deployment.js","261","7,5"
"BAIXA","scripts\validate-sentry-setup.js","377","11,5"
"BAIXA","scripts\verify-admin-user.js","67","2,6"
"BAIXA","scripts\verify-bundle-hash.js","385","11,1"
"ALTA","shared\contexts\contexts\ExerciseContext.jsx","813","30,1"
"ALTA","shared\contexts\contexts\PatientContext.jsx","883","31,5"
"MÉDIA","types\checkin\index.js","1","0"
"MÉDIA","types\api.js","92","2,8"
"MÉDIA","types\appointment.js","142","5,1"
"MÉDIA","types\clinicalContent.js","5","0,1"
"MÉDIA","types\crm.js","5","0,1"
"MÉDIA","types\database-generated.js","74","2,1"
"MÉDIA","types\database-new.js","0","0"
"MÉDIA","types\database-updated.js","74","2,1"
"MÉDIA","types\database.js","74","2,1"
"MÉDIA","types\database.types.js","74","2,1"
"MÉDIA","types\exercise.js","5","0,1"
"MÉDIA","types\familyPortalTypes.js","32","1,2"
"MÉDIA","types\financial.js","232","7,7"
"MÉDIA","types\mappers.js","135","4,6"
"MÉDIA","types\medical-records.js","104","4,2"
"MÉDIA","types\notification.js","1","0"
"MÉDIA","types\pain-point.js","312","9,2"
"MÉDIA","types\patient.js","2","0,1"
"MÉDIA","types\populationHealthTypes.js","15","0,7"
"MÉDIA","types\predictiveAnalyticsTypes.js","28","1,2"
"MÉDIA","types\qualityAssuranceTypes.js","43","1,9"
"MÉDIA","types\realtime.js","1","0"
"MÉDIA","types\riskTypes.js","22","0,8"
"MÉDIA","types\session.js","139","4,1"
"MÉDIA","types\sportsRehabTypes.js","46","1,8"
"MÉDIA","types\supabase.js","74","2,1"
"MÉDIA","types\user.js","167","5,3"
"MÉDIA","types\utils.js","37","1,3"
"BAIXA","utils\exerciseToasts.js","82","3,2"
"BAIXA","utils\toast.js","49","1,5"
"BAIXA","workers\sw-advanced.js","249","7,8"
"BAIXA","debug_initial_data.js","75","3,2"
"BAIXA","debug_modal_time.js","62","2,2"
"BAIXA","eslint.config.js","169","4,5"
"BAIXA","generate-secret.js","33","1"
"BAIXA","jest.config.js","131","3,1"
"BAIXA","next.config.js","77","2,4"
"BAIXA","test-browser-errors.js","116","4,7"
"BAIXA","test-complete-system.js","429","16,4"
"BAIXA","test-login-playwright.js","201","6,5"
"BAIXA","test-portal-navigation.js","169","6,2"
"BAIXA","test-react.js","12","0,5"
"BAIXA","test-sidebar-debug.js","90","3,3"
"BAIXA","webhook-server.js","86","2,9"
